rating_id,order_id,supplier_id,quality,communication
403,403,116,5,5
404,404,116,5,3
407,407,117,3,4
408,408,117,2,3
409,409,118,3,3
410,410,118,3,2
411,411,118,4,3
412,412,118,1,3
413,413,119,2,3
414,414,119,3,2
416,416,119,2,3
418,418,120,2,2
422,422,121,5,4
424,424,122,2,3
425,425,122,3,3
428,428,123,3,4
430,430,123,2,2
434,434,125,3,3
435,435,125,4,3
436,436,125,5,3
439,439,126,3,4
441,441,127,3,2
445,445,128,4,3
449,449,130,3,4
451,451,130,2,5
452,452,130,3,4
455,455,131,4,3
456,456,131,4,1
457,457,131,2,4
458,458,132,3,2
459,459,132,5,4
461,461,133,2,2
463,463,133,3,4
464,464,133,5,4
465,465,133,4,4
467,467,134,4,4
468,468,135,4,3
469,469,135,4,5
470,470,135,4,4
471,471,135,4,3
473,473,136,5,3
476,476,138,3,5
477,477,138,3,3
479,479,139,3,2
480,480,139,2,4
481,481,139,2,3
482,482,140,2,4
485,485,141,3,3
486,486,141,2,3
488,488,141,3,3
493,493,143,4,2
494,494,143,3,2
499,499,145,2,4
502,502,146,4,4
503,503,146,4,4
504,504,146,4,4
505,505,147,2,3
508,508,147,4,4
509,509,148,4,2
510,510,148,3,3
511,511,148,2,3
512,512,148,3,3
514,514,149,4,3
515,515,149,4,4
516,516,149,4,5
517,517,150,3,4
518,518,150,4,2
519,519,150,2,4
520,520,150,4,3
521,521,150,3,3
522,522,1,2,4
523,523,2,1,4
524,524,2,5,5
526,526,3,3,2
527,527,3,4,5
529,529,5,2,3
531,531,5,3,4
532,532,6,1,4
533,533,6,2,3
534,534,6,3,4
535,535,7,3,5
537,537,7,4,4
538,538,8,4,3
539,539,8,2,5
540,540,8,2,4
541,541,9,5,4
542,542,9,1,3
543,543,9,4,3
544,544,10,3,5
545,545,11,2,4
546,546,11,4,3
547,547,11,5,3
548,548,12,4,2
549,549,12,3,4
550,550,13,4,4
551,551,14,2,3
552,552,15,4,4
554,554,16,4,4
555,555,17,3,4
556,556,18,5,3
558,558,20,3,4
560,560,20,4,4
561,561,21,4,3
562,562,22,1,4
563,563,22,3,5
564,564,22,2,5
566,566,23,3,3
567,567,23,3,5
568,568,24,3,2
569,569,24,3,4
570,570,25,5,4
571,571,26,4,3
572,572,26,2,3
573,573,26,4,3
574,574,27,5,3
575,575,27,2,3
576,576,28,3,3
577,577,28,3,3
580,580,29,3,4
581,581,30,3,3
582,582,31,5,3
583,583,32,5,3
584,584,32,3,1
585,585,33,5,5
586,586,33,3,3
587,587,33,5,4
588,588,33,4,1
589,589,34,4,4
590,590,34,3,5
591,591,34,5,3
592,592,35,5,5
593,593,35,2,2
594,594,36,5,4
595,595,36,3,2
596,596,36,3,3
597,597,36,5,4
598,598,37,4,4
599,599,38,5,3
600,600,38,4,4
602,602,38,2,4
603,603,38,4,4
604,604,39,4,2
605,605,40,5,2
606,606,41,5,4
607,607,42,3,5
608,608,43,3,2
609,609,43,4,5
610,610,44,4,5
611,611,44,5,5
612,612,44,5,4
613,613,45,3,5
614,614,45,3,3
615,615,45,5,3
616,616,46,4,5
617,617,46,3,5
618,618,46,4,4
619,619,46,4,3
621,621,48,2,4
623,623,48,3,3
625,625,49,4,2
626,626,50,3,3
627,627,51,5,4
628,628,51,5,3
629,629,52,5,3
630,630,53,1,3
631,631,54,4,5
632,632,54,4,3
633,633,54,1,2
634,634,54,3,3
635,635,55,3,3
636,636,55,3,4
637,637,56,2,5
638,638,56,4,4
639,639,56,3,5
641,641,57,1,4
642,642,57,3,4
643,643,58,5,5
644,644,59,4,2
645,645,59,5,1
646,646,60,3,4
647,647,61,3,2
648,648,61,5,4
649,649,62,4,2
652,652,63,3,4
653,653,64,3,3
654,654,65,3,3
656,656,65,3,5
657,657,65,5,4
658,658,66,5,4
660,660,67,3,4
661,661,67,2,3
662,662,68,3,4
664,664,69,1,4
665,665,69,5,3
666,666,69,5,3
667,667,69,4,2
668,668,70,3,4
669,669,71,4,4
670,670,71,4,2
672,672,71,2,4
673,673,72,4,4
675,675,73,4,4
677,677,73,4,4
679,679,73,5,4
681,681,74,4,5
682,682,75,4,4
683,683,75,4,4
684,684,75,4,5
686,686,77,5,2
687,687,77,3,3
689,689,77,2,4
690,690,77,3,2
691,691,78,5,3
692,692,79,4,5
694,694,79,5,3
695,695,79,3,4
696,696,79,2,3
697,697,80,3,4
698,698,80,4,3
699,699,80,3,4
700,700,81,5,4
701,701,82,4,3
703,703,84,2,3
704,704,84,4,3
706,706,85,4,2
707,707,85,5,2
708,708,85,5,3
709,709,85,3,4
710,710,86,4,4
711,711,86,3,3
712,712,87,3,3
713,713,87,3,3
714,714,88,5,4
715,715,89,5,3
716,716,89,3,5
717,717,89,4,4
718,718,90,4,2
720,720,91,3,3
722,722,91,1,2
723,723,92,5,4
724,724,93,2,3
725,725,94,4,4
726,726,95,3,3
727,727,95,3,3
728,728,95,5,4
729,729,95,4,3
730,730,96,2,5
731,731,97,4,3
732,732,97,2,4
733,733,97,5,3
734,734,98,3,3
735,735,98,3,4
737,737,98,3,2
738,738,99,4,2
739,739,99,2,3
740,740,99,2,3
741,741,100,3,5
742,742,100,4,3
743,743,101,4,4
744,744,102,4,4
745,745,103,3,3
746,746,104,4,2
747,747,105,4,5
748,748,105,3,5
749,749,106,3,3
750,750,106,4,2
751,751,107,3,1
752,752,108,4,4
753,753,108,3,5
754,754,109,3,4
755,755,109,4,2
756,756,110,2,2
759,759,112,5,2
760,760,112,4,4
761,761,113,3,2
762,762,113,5,3
763,763,114,4,4
764,764,114,3,4
765,765,114,2,5
766,766,115,1,3
768,768,116,4,4
769,769,116,3,3
770,770,117,4,3
772,772,117,3,5
773,773,118,2,4
775,775,119,4,4
776,776,120,2,3
777,777,120,3,4
778,778,121,3,4
781,781,122,4,3
782,782,122,3,5
783,783,122,4,2
784,784,123,5,2
785,785,123,3,4
786,786,123,2,2
788,788,124,2,5
790,790,124,3,4
791,791,125,5,5
792,792,125,2,4
793,793,126,3,2
795,795,127,3,3
796,796,128,3,4
798,798,130,3,4
799,799,130,2,4
800,800,131,3,5
801,801,132,3,3
802,802,132,3,3
803,803,132,4,4
804,804,132,3,4
806,806,133,3,4
807,807,133,1,3
808,808,134,3,5
810,810,134,3,4
811,811,135,3,3
813,813,136,3,4
814,814,136,4,4
815,815,137,5,3
816,816,137,3,2
819,819,139,2,4
820,820,139,4,4
821,821,139,4,4
822,822,140,5,2
824,824,141,4,2
825,825,141,4,4
826,826,142,4,2
827,827,143,3,3
828,828,143,3,3
830,830,144,3,5
831,831,144,4,3
832,832,144,4,4
833,833,144,4,5
834,834,145,5,4
836,836,145,3,3
837,837,145,4,4
838,838,145,4,5
839,839,146,4,5
840,840,146,3,4
841,841,146,5,5
842,842,147,5,3
843,843,148,5,4
844,844,148,4,2
845,845,148,2,4
846,846,148,3,5
847,847,149,2,5
848,848,150,3,3
849,849,150,3,3
850,850,150,4,3
